5,1,999
6,1,999
7,2,999
7,4,999
8,2,999
9,2,999
10,2,999
11,2,999
12,2,999
12,4,999
13,2,999
13,5,999
14,2,999
14,4,999
15,2,999
15,4,999
16,2,999
16,5,999
17,2,999
17,4,999
18,2,999
19,2,999
19,4,999
20,3,999
21,3,999
22,3,999
23,4,999
24,2,999
24,4,999
25,2,999
25,4,999
26,4,999
27,4,999
28,4,999
29,4,999
31,5,999
32,5,999
33,6,999
34,6,999
35,7,999
35,8,999
35,15,999
36,7,999
36,8,999
36,15,999
37,7,999
37,8,999
38,7,999
38,8,999
38,24,999
38,25,999
39,7,999
39,8,999
40,7,999
40,8,999
41,7,999
41,8,999
42,7,999
42,8,999
43,7,999
43,8,999
44,7,999
44,8,999
44,16,999
45,7,999
45,8,999
45,16,999
46,7,999
46,8,999
47,7,999
47,8,999
48,7,999
48,8,999
49,7,999
49,8,999
50,7,999
50,8,999
51,7,999
51,8,999
51,15,999
52,7,999
52,8,999
52,15,999
53,7,999
53,8,999
54,7,999
54,8,999
55,7,999
55,8,999
56,9,999
57,9,999
58,9,999
59,9,999
60,9,999
61,9,999
61,15,999
62,14,999
62,15,999
63,9,999
64,9,999
64,15,999
64,17,999
65,9,999
65,15,999
66,9,999
66,17,999
67,9,999
67,17,999
68,9,999
69,9,999
69,17,999
70,9,999
70,15,999
71,9,999
71,17,999
72,9,999
72,15,999
72,17,999
73,9,999
74,9,999
74,17,999
74,20,999
75,10,999
75,18,999
75,20,999
75,23,999
76,10,999
76,18,999
76,20,999
76,23,999
77,10,999
77,18,999
77,20,999
77,23,999
78,10,999
78,18,999
78,20,999
78,23,999
79,10,999
79,18,999
79,20,999
79,23,999
80,10,999
80,18,999
80,20,999
80,23,999
81,10,999
81,18,999
81,20,999
81,23,999
82,10,999
82,18,999
82,20,999
82,23,999
83,10,999
83,18,999
83,20,999
83,23,999
84,10,999
84,18,999
84,20,999
84,23,999
85,10,999
85,18,999
85,20,999
85,23,999
86,10,999
86,18,999
86,20,999
86,23,999
87,10,999
87,18,999
87,20,999
87,23,999
88,10,999
88,18,999
88,20,999
88,23,999
89,10,999
89,18,999
89,20,999
89,23,999
90,10,999
90,18,999
90,20,999
90,23,999
91,10,999
91,18,999
91,20,999
91,23,999
92,10,999
92,18,999
92,22,999
93,11,999
93,18,999
93,20,999
93,23,999
94,10,999
94,18,999
95,10,999
95,18,999
96,14,999
96,15,999
96,17,999
97,14,999
97,15,999
97,17,999
98,10,999
98,18,999
99,10,999
99,18,999
100,9,999
100,17,999
100,24,999
100,26,999
101,3,999
102,4,999
104,4,999
105,7,999
105,8,999
105,24,999
105,25,999
